aX,aY,aZ,temperature,gX,gY,gZ
-792,2168,16500,19.35,824,363,-277
-1224,2116,17724,19.49,541,873,411
-656,2312,17324,19.4,91,457,214
-844,2604,17384,19.45,397,1857,-67
576,2616,16528,19.35,625,1718,-1017
-2668,2052,17272,19.31,-264,206,-1012
-1480,2780,18172,19.4,1283,-331,-1121
-1276,2828,15988,19.4,939,-186,-1147
-1464,3224,16172,19.54,516,-1032,-361
-4072,3608,19128,19.45,-995,-1059,407
-104,3656,17436,19.49,-9,1251,-973
-1152,3364,20684,19.45,829,1381,-1127
-1380,2696,18948,19.35,-1376,3291,-1037
-3540,2104,17288,19.45,-795,-192,-1907
-2680,2716,18284,19.49,-136,-9,208
-3908,2200,17024,19.49,1275,-757,-866
-1064,2984,17644,19.45,-552,-459,-547
-3092,3716,17636,19.45,577,-322,27
-1584,3088,20136,19.49,174,-341,-685
-2724,3196,15076,19.4,-315,-803,1644
-1612,2436,16548,19.49,-755,-1705,1825
-1212,2824,16864,19.49,482,-410,313
-544,3304,18168,19.45,325,13,156
-2552,2976,17952,19.4,-517,-464,1622
-3772,3652,15004,19.49,-1228,2164,-442
-3264,3040,16276,19.49,-42,-279,285
-4236,3044,16440,19.4,-2354,1255,205
-2612,4028,17328,19.54,-1173,-638,2017
-2308,3884,19936,19.45,-512,-1551,919
-64,4116,19364,19.54,-151,-1863,2130
-804,4112,18044,19.49,454,-1951,1523
-556,4140,18608,19.4,-226,1802,1833
312,4460,17332,19.45,-349,2822,1571
-972,2704,17108,19.45,27,3365,448
552,3420,16008,19.45,-59,1647,1473
812,3328,15816,19.49,-2190,1012,994
-500,3792,13836,19.4,-1351,1491,-521
-676,4040,17436,19.49,430,-489,71
128,3708,19380,19.45,1001,-1662,-2489
-1392,2256,19848,19.54,-62,-485,-1835
912,2980,15212,19.59,-950,678,-2784
-1004,3128,15856,19.49,-474,-500,-1869
-1240,3920,15796,19.54,347,-132,-2584
-844,3860,17844,19.49,1163,806,-1697
-800,2404,22104,19.49,-362,689,-2329
-2304,2100,17832,19.59,-433,-609,2216
-2740,2432,15060,19.54,-1543,-173,766
-344,3428,14704,19.45,148,-638,-577
792,3216,18736,19.59,720,-817,-3427
-3188,644,20876,19.59,-641,963,-4879
-2136,1900,17616,19.54,-705,-214,-2748
-1848,2720,13968,19.59,-1376,1198,-2986
1324,4176,15528,19.49,489,-575,-1459
-348,3832,21524,19.45,2941,-1393,-3195
-2180,836,25556,19.49,-515,-224,-1757
-2188,1688,18376,19.49,-538,-2042,1121
-1896,1912,14536,19.45,-221,145,-23
-1456,3208,15516,19.4,453,348,-691
-2240,2660,20148,19.4,1877,753,-1889
-3392,1336,21808,19.49,-2069,551,-3023
-1980,1328,18036,19.45,-746,2159,24
-1732,2752,14148,19.45,-271,1936,-1780
-1900,3304,13496,19.45,-275,-1257,-686
-1392,4396,19060,19.49,1749,-426,-376
-888,3376,21048,19.4,-1368,1285,-859
-3156,1892,17072,19.45,-2348,-739,1657
-1488,2016,16988,19.45,-1567,655,-54
-328,3472,15124,19.49,1393,270,-756
-2408,3112,18684,19.4,1068,-336,-3224
